InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,decimalLatitude,decimalLongitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
FMNH,Fishes,77393,6,Aplochiton zebra,Galaxiidae,,,-41.1500,-72.4167,-41.1500,-72.4167,,,Chile,,,,,"Falls at Pitrohue, 100 m. elev",,,1919,3,8,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-7T01:46:14.000CMT
FMNH,Fishes,89063,2,Aplochiton taeniatus,Galaxiidae,,,-41.0833,-72.0333,-41.0833,-72.0333,,,Chile,,,,,"Peulla, Lago Todos Santos, 190 m. elev",,,1919,2,27,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:18:16.000CMT
FMNH,Fishes,96233,6,Galaxias maculatus,Galaxiidae,,,-39.8167,-73.2500,-39.8167,-73.2500,,,Chile,,,,,"Rio CalleCalle, Cutipai, near Valdivia",,,1919,2,19,C. H. Eigenmann,,,PreservedSpecimen,,2015-3-6T20:10:26.000CMT
NSMT,P,108551,,Aplochiton taeniatus,Galaxiidae,,,-41.085,-72.35499999999999,-41.085,-72.35499999999999,,,Chile,,,,,"Chile, Los Lagos Region, Llanquihue Lake",,,,,,,,,PreservedSpecimen,,2017-09-01T17:07:27+09:00
NSMT,P,61092,,Percichthys trucha,Percichthyidae,,,-47.233333333333334,-72.51666666666667,-47.233333333333334,-72.51666666666667,,,Chile,,,,,"Chile, Lake Maldonado",,3 meters-5 meters,,,,,,,PreservedSpecimen,,2017-09-06T06:24:48+09:00
UF,Fish,33951,,Salmo gairdnerii,Salmonidae,EtOH - 11,,-41.2261410,-72.6855680,-41.2261410,-72.6855680,,,Chile,Llanquihue Province,,,,"Rio Tupe, 12.0 km W of Ensanada.",,,1972,12,21,"Pescador, M",FishNet,,PreservedSpecimen,,1990-08-09 00:00:00.0
UF,Fish,33952,,Salmo trutta,Salmonidae,EtOH - 1,,-32.9670470,-70.2925890,-32.9670470,-70.2925890,,,Chile,Aconcagua Province,,,,"Rio Blanco at El Juncal, 21 kilometers southwest of Portillo",,,1972,11,21,"Pescador, M",,,PreservedSpecimen,,1990-08-09 00:00:00.0
UF,Fish,117110,,Diplomystes nahuelbutaensis,Diplomystidae,EtOH - 2,,-36.8123370,-73.0166670,-36.8123370,-73.0166670,,,Chile,Bio-Bio,,,,"Rio Laja at Puente Tupacel, approximately 2 miles south of the town of Tucapel",,,1992,10,9,"Ruiz, Victor",,,PreservedSpecimen,No field notes,2001-06-06 08:37:34.0
CAS,ICH,97398,7,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH,,-39.8621290000,-73.3335940000,-39.8621290000,-73.3335940000,8856.00000000000000,,Chile,,,,,Below Validivia; from market.,,,1919,2,19,"Eigenmann, Carl H.",,Coordinates at mid-way point between Valdivia and the Pacific Ocean.,PreservedSpecimen,Irwin Exped.,1997-10-31 00:00:00.0
CAS,ICH,97399,11,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH; radiograph,,-52.9692730000,-70.9858110000,-52.9692730000,-70.9858110000,9106.00000000000000,,Chile,,,,,R. Pescado.,,,1919,3,10,"Eigenmann, Carl H.",,"Polygon covers Rio Pescado, coordinates placed at center of polygon.",PreservedSpecimen,Irwin Exped.,2018-06-13 16:23:03.0
