"taxa.list$scientificName_Old","usageKey","scientificName","canonicalName","rank","status","type","formattedName","matchType","confidence","timeTaken","kingdom","phylum","order","family","kingdomKey","phylumKey","orderKey","familyKey","value","verbatim_name","verbatim_rank","authorship","code","genericName","specificEpithet","genus","species","genusKey","speciesKey","note","unranked","unrankedKey","class","classKey","infraspecificEpithet","subspecies","subspeciesKey"
"Genypterus maculatus (Tschudi, 1846)","2345636","Genypterus maculatus (Tschudi, 1846)","Genypterus maculatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> <i>maculatus</i> (Tschudi, 1846)","EXACT",100,7,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus maculatus (Tschudi, 1846)","higher","(Tschudi, 1846)","ZOOLOGICAL","Genypterus","maculatus","Genypterus","Genypterus maculatus","2345634","2345636",NA,NA,NA,NA,NA,NA,NA,NA
"Geotria australis","2421280","Geotria australis Gray, 1851","Geotria australis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Geotria</i> <i>australis</i> Gray, 1851","EXACT",99,9,"Animalia","Chordata","Petromyzontiformes","Geotriidae","1","44","771","4815461",FALSE,"Geotria australis","higher","Gray, 1851","ZOOLOGICAL","Geotria","australis","Geotria","Geotria australis","2421279","2421280",NA,NA,NA,"Petromyzonti","11881065",NA,NA,NA
"Geotria macrostoma","4351382","Geotria macrostoma (Burmeister, 1868)","Geotria macrostoma","SPECIES","SYNONYM","SCIENTIFIC","<i>Geotria</i> <i>macrostoma</i> (Burmeister, 1868)","EXACT",98,10,"Animalia","Chordata","Petromyzontiformes","Geotriidae","1","44","771","4815461",TRUE,"Geotria macrostoma","higher","(Burmeister, 1868)","ZOOLOGICAL","Geotria","macrostoma","Geotria","Geotria australis","2421279","2421280",NA,NA,NA,"Petromyzonti","11881065",NA,NA,NA
"Gigliolia moseleyi Goode & Bean, 1895","5213275","Gigliolia moseleyi Goode & Bean, 1895","Gigliolia moseleyi","SPECIES","SYNONYM","SCIENTIFIC","<i>Gigliolia</i> <i>moseleyi</i> Goode & Bean, 1895","EXACT",100,10,"Animalia","Chordata","Notacanthiformes","Notacanthidae","1","44","1307","8474",TRUE,"Gigliolia moseleyi Goode & Bean, 1895","higher","Goode & Bean, 1895","ZOOLOGICAL","Gigliolia","moseleyi","Notacanthus","Notacanthus sexspinis","2405526","2405544",NA,NA,NA,NA,NA,NA,NA,NA
"Gobiesocidae","7668","Gobiesocidae","Gobiesocidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Gobiesocidae</i>","HIGHERRANK",94,3,"Animalia","Chordata","Gobiesociformes","Gobiesocidae","1","44","1163","7668",FALSE,"Gobiesocidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gobiesox marmoratus","2411259","Gobiesox marmoratus Jenyns, 1842","Gobiesox marmoratus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Gobiesox</i> <i>marmoratus</i> Jenyns, 1842","EXACT",99,10,"Animalia","Chordata","Gobiesociformes","Gobiesocidae","1","44","1163","7668",FALSE,"Gobiesox marmoratus","higher","Jenyns, 1842","ZOOLOGICAL","Gobiesox","marmoratus","Gobiesox","Gobiesox marmoratus","2411258","2411259",NA,NA,NA,NA,NA,NA,NA,NA
"Gobiesox marmoratus Jenyns, 1842","2411259","Gobiesox marmoratus Jenyns, 1842","Gobiesox marmoratus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Gobiesox</i> <i>marmoratus</i> Jenyns, 1842","EXACT",100,10,"Animalia","Chordata","Gobiesociformes","Gobiesocidae","1","44","1163","7668",FALSE,"Gobiesox marmoratus Jenyns, 1842","higher","Jenyns, 1842","ZOOLOGICAL","Gobiesox","marmoratus","Gobiesox","Gobiesox marmoratus","2411258","2411259",NA,NA,NA,NA,NA,NA,NA,NA
"Gobiomorus maculatus (Günther, 1859)","2386050","Gobiomorus maculatus (Günther, 1859)","Gobiomorus maculatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Gobiomorus</i> <i>maculatus</i> (Günther, 1859)","EXACT",100,10,"Animalia","Chordata","Perciformes","Eleotridae","1","44","587","4268",FALSE,"Gobiomorus maculatus (Günther, 1859)","higher","(Günther, 1859)","ZOOLOGICAL","Gobiomorus","maculatus","Gobiomorus","Gobiomorus maculatus","2376640","2386050",NA,NA,NA,NA,NA,NA,NA,NA
"Guttigadus kongi (Markle & Meléndez C., 1988)","2417070","Guttigadus kongi (Markle & Meléndez C., 1988)","Guttigadus kongi","SPECIES","ACCEPTED","SCIENTIFIC","<i>Guttigadus</i> <i>kongi</i> (Markle & Meléndez C., 1988)","EXACT",100,5,"Animalia","Chordata","Gadiformes","Moridae","1","44","549","3704",FALSE,"Guttigadus kongi (Markle & Meléndez C., 1988)","higher","(Markle & Meléndez C., 1988)","ZOOLOGICAL","Guttigadus","kongi","Guttigadus","Guttigadus kongi","2417058","2417070",NA,NA,NA,NA,NA,NA,NA,NA
"Gyrodus Agassiz 1843","6759129","Gyrodus Agassiz, 1833","Gyrodus","GENUS","ACCEPTED","SCIENTIFIC","<i>Gyrodus</i> Agassiz, 1833","HIGHERRANK",98,37,"Animalia","Chordata",NA,"Gyrodontidae","1","44",NA,"4841557",FALSE,"Gyrodus Agassiz 1843","higher","Agassiz, 1833","ZOOLOGICAL",NA,NA,"Gyrodus",NA,"6759129",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harpagifer Richardson, 1844","2389438","Harpagifer Richardson, 1844","Harpagifer","GENUS","ACCEPTED","SCIENTIFIC","<i>Harpagifer</i> Richardson, 1844","HIGHERRANK",99,24,"Animalia","Chordata","Perciformes","Harpagiferidae","1","44","587","4278",FALSE,"Harpagifer Richardson, 1844","higher","Richardson, 1844","ZOOLOGICAL",NA,NA,"Harpagifer",NA,"2389438",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harpagifer bispinis","2389439","Harpagifer bispinis (Forster, 1801)","Harpagifer bispinis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Harpagifer</i> <i>bispinis</i> (Forster, 1801)","EXACT",99,11,"Animalia","Chordata","Perciformes","Harpagiferidae","1","44","587","4278",FALSE,"Harpagifer bispinis","higher","(Forster, 1801)","ZOOLOGICAL","Harpagifer","bispinis","Harpagifer","Harpagifer bispinis","2389438","2389439",NA,NA,NA,NA,NA,NA,NA,NA
"Harpagifer bispinis (Forster in Bloch & Schneider, 1801)","2389439","Harpagifer bispinis (Forster, 1801)","Harpagifer bispinis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Harpagifer</i> <i>bispinis</i> (Forster, 1801)","EXACT",100,12,"Animalia","Chordata","Perciformes","Harpagiferidae","1","44","587","4278",FALSE,"Harpagifer bispinis (Forster in Bloch & Schneider, 1801)","higher","(Forster, 1801)","ZOOLOGICAL","Harpagifer","bispinis","Harpagifer","Harpagifer bispinis","2389438","2389439",NA,NA,NA,NA,NA,NA,NA,NA
"Harpagifer bispinis (Forster, 1801)","2389439","Harpagifer bispinis (Forster, 1801)","Harpagifer bispinis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Harpagifer</i> <i>bispinis</i> (Forster, 1801)","EXACT",100,5,"Animalia","Chordata","Perciformes","Harpagiferidae","1","44","587","4278",FALSE,"Harpagifer bispinis (Forster, 1801)","higher","(Forster, 1801)","ZOOLOGICAL","Harpagifer","bispinis","Harpagifer","Harpagifer bispinis","2389438","2389439",NA,NA,NA,NA,NA,NA,NA,NA
