id,latitude,longitude,cntry_code,country,obs_date,t_kingdom,t_phylum,t_class,t_order,t_family,t_genus,t_species,database,inst,collection,provider,records,year,month
"4556153","-50.25","-72.4167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
"4556108","-50.25","-71.7333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556114","-50.0833","-69.5833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556181","-50.0347","-72.0667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556180","-49.7833","-68.6333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556144","-49.6667","-72.3333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556146","-49.3333","-72","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556141","-49.3333","-69.75","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556140","-47.75","-65.9","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556173","-46.5","-71.35","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556150","-44.6667","-70.5833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556111","-43.8333","-68.8","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556113","-43.4","-65.9","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556149","-42.6833","-70.0833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556133","-41.7","-71.6833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556191","-41.5667","-71.4833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556132","-41.5167","-71.5833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556179","-41.5167","-71.55","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556178","-41.5","-71.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556189","-41.4981","-71.6919","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556131","-41.3833","-71.7833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556177","-41.3672","-71.7397","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556172","-41.35","-71.7333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556190","-41.35","-71.55","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","3","",""
"4556188","-41.3333","-71.6","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
"4556187","-41.3167","-71.7833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
"4556170","-41.2667","-71.6333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556171","-41.25","-71.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556185","-41.2","-71.4167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556169","-41.1833","-71.4167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556162","-41.1833","-71.4","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556124","-41.1","-71.15","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556176","-41.0833","-71.5333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556186","-41.0667","-71.55","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
"4556161","-41.0667","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556155","-41.0667","-71.4833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
"4556168","-41.05","-71.5167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556152","-41.05","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
