"occurrenceID","decimalLatitude","decimalLongitude","eventDate","scientificName","datasetName","institutionCode","collectionCode","license","rightsHolder","accessRights"
"4556254",-43.2,-71.5667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556250",-43.1833,-71.65,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556315",-43.1333,-71.6,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556227",-43.0833,-71.6833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556251",-43,-71.4667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556234",-42.9833,-71.5167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556256",-42.9833,-71.2,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556226",-42.8833,-71.75,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556223",-42.8333,-71.6333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556236",-42.7667,-71.7333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556249",-42.7333,-71.75,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556224",-42.7167,-71.7333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556225",-42.7,-71.8167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556278",-42.6833,-71.45,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556222",-42.6333,-71.6833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556277",-42.6,-71.9167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556221",-42.45,-71.6667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556248",-42.45,-71.6,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556219",-42.45,-71.4833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556255",-42.45,-71.4333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556237",-42.4333,-71.4,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
