"occurrenceID","bibliographicCitation","decimalLatitude","decimalLongitude","eventDate","year","scientificName","locality","stateProvince","references","associatedReferences","catalogNumber","institutionCode","recordedBy","samplingProtocol","individualCount","X","X.1","canonicalName","rank","kingdom","phylum","order","family","genus","species"
"Boisjoly.Lit.Review.0034","Jenyns, L. (1842). The Zoology of the Voyage of H.M.S. Beagle, Under the Command of Captain Fitzroy, R.N., During the Years 1832 to 1836. Part IV, Fish. Smith, Elder & Co.","-55.223545","-67.104515","1833","1833","Aplochiton taeniatus Jenyns, 1842","Goree Sound","","","","1879.8.20.15-16","NHMUK","","","","","","Aplochiton taeniatus","SPECIES","Animalia","Chordata","Osmeriformes","Galaxiidae","Aplochiton","Aplochiton taeniatus"
"Boisjoly.Lit.Review.0035","Milano, D., Ruzzante, D.E., Cussac, V.E., Macchi, P.J., Ferriz, R.A., Barriga, J.P., Aigo, J.D., Lattuca, M.E., & Walde, S.J. (2006). Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces,","-54.63609464","-67.99142712","2001-01-09","2001","Salvelinus fontinalis (Mitchill, 1814)","","","","","","","","","16","","","Salvelinus fontinalis","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Boisjoly.Lit.Review.0036","Milano, D., Ruzzante, D.E., Cussac, V.E., Macchi, P.J., Ferriz, R.A., Barriga, J.P., Aigo, J.D., Lattuca, M.E., & Walde, S.J. (2006). Latitudinal and ecological correlates of morphological variation in Galaxias platei (Pisces,","-54.65782571","-67.80403883","2001-01-10","2001","Salvelinus fontinalis (Mitchill, 1814)","","","","","","","","","19","","","Salvelinus fontinalis","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Boisjoly.Lit.Review.0037","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-53.861667","-68.139722","2015-04","2015","Geotria macrostoma (Burmeister, 1868)","Menendez","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval/Juvenile","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0038","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-51.861944","-70.566389","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Gallegos Chico","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Adult","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0039","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-51.687778","-69.655556","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Gallegos3","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0040","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-51.869444","-71.491944","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Gallegos_1","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0041","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-51.893611","-71.597778","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Gallegos_2","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0042","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-53.896944","-68.442778","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Grande_1","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0043","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-53.8209","-67.8825","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Grande_2","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Juvenile","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0044","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-53.811667","-67.898889","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Grande_3","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval/Juvenile","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0045","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-51.919722","-71.495278","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Penitente","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Juvenile","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0046","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-51.900278","-71.604167","2018-04","2018","Geotria macrostoma (Burmeister, 1868)","Rubens","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Larval","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0047","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-53.819722","-67.882778","2019-01","2019","Geotria macrostoma (Burmeister, 1868)","Grande","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Juvenile","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0048","Nardi, C.F., Sánchez, J., Fernández, D.A., Casalinuovo, M.Á., Rojo, J.H., and Chalde, T. 2020. Detection of lamprey in Southernmost South America by environmental DNA (eDNA) and molecular evidence for a new species. Polar Biol 43(4): 369–383. doi:10.1007/s00300-020-02640-3.","-53.821111","-67.8825","2020-01","2020","Geotria macrostoma (Burmeister, 1868)","Grande","","","(Riva-Rossi et al. 2020)","","","","","","Geotria australis","Juvenile","Geotria macrostoma","SPECIES","Animalia","Chordata","Petromyzontiformes","Geotriidae","Geotria","Geotria australis"
"Boisjoly.Lit.Review.0049","Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1","-41.983","-71.844","2007/2011","2007","Oncorhynchus mykiss (Walbaum, 1792)","Lago Azul, cuenca del río Puelo","","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0050","Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1","-41.681","-72.32","2007/2011","2007","Oncorhynchus mykiss (Walbaum, 1792)","Lago Candelaria, cuenca del río Puelo","","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0051","Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1","-41.681","-72.32","2007/2011","2007","Salmo trutta Linnaeus, 1758","Lago Candelaria, cuenca del río Puelo","","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
