bibliographicCitation,decimalLatitude,decimalLongitude,eventDate,year,canonicalName,scientificName,locality,stateProvince,references,associatedReferences,catalogNumber,institutionCode,recordedBy,samplingProtocol,individualCount
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-46.838,-72.012,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Jeinimeni, cuenca del río Baker",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-46.838,-72.012,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Jeinimeni, cuenca del río Baker",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-45.904804,-72.098064,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago La Paloma, cuenca del río Aysén",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-45.904804,-72.098064,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago La Paloma, cuenca del río Aysén",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-42.0357230003,-71.8315429998,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Las Rocas, cuenca del río Puelo",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-44.7960699998,-72.2103320002,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Las Torres, cuenca del río Cisnes",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-51.3144859997,-72.8250620002,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Porteño, cuenca del río Serrano",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-45.4873611112,-72.6932777784,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Riesco, cuenca del río Aysén",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-44.2531199996,-72.5115540002,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Risopatron, cuenca del río Palena",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-51.051493,-72.8749830001,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Sarmiento, cuenca del río Serrano",,,,,,,,
