fid,GlobalUniqueIdentifier,NOMBRE CIENTÍFICO,LOCALIDAD MÁS CERCANA,PROVINCIA,CUENCA,SUBCUENCA,CUERPO DE AGUA,N° DE CUENCA #,CITA,REGIÓN ICTIOG *,Ecoregion Lopez et al 2008,Decimal Latitude,Decimal Longitude,AÑO,CODIGO INSTITUCIÓN,CODIGO COLECCIÓN,N COLECCIÓN,Continente,País,Voucher,Observ,comments,.remove,.locality,.decimalLatitude,.decimalLongitude
80,FO:Peces:4892,Aplochiton zebra,-,Tierra del Fuego,Pacífico,Cuenca del Lago Fagnano,Lago Fagnano,82,"Arratia et al., 1983",DAP,Patagonian,-54.55,-68.3333333333333,1983,FO,Peces,4892,América del Sur,Argentina,No,,,,,,
81,FO:Peces:4894,Odontesthes hatcheri,Cholila,Chubut,Pacífico,Río Futaleufú,Lago Lezama,76,"Arratia et al., 1983",DAP,Patagonian,-42.4333333333333,-71.5,1983,FO,Peces,4894,América del Sur,Argentina,No,,"-42.45, -71.4833333333333",,,-42.45,-71.4833333333333
82,FO:Peces:4898,Odontesthes hatcheri,-,Neuquén,Pacífico,Cuenca del río Manso,-,75,"Arratia et al., 1983",DAP,Patagonian,-41.3666666666667,-71.55,1983,FO,Peces,4898,América del Sur,Argentina,No,,remove. unprecice location by watershed.,remove,,,
83,FO:Peces:4903,Percichthys trucha,-,Río Negro,Pacífico,Cuenca del río Manso,-,75,"Arratia et al., 1983",DAP,Patagonian,-41.3666666666667,-71.55,1983,FO,Peces,4903,América del Sur,Argentina,No,,remove. unprecice location by watershed.,remove,,,
84,FO:Peces:4966,Salvelinus fontinalis,Lago Vintter,Chubut,Pacífico,Río Carrenleufú,Lago Vintter,77,"Ubeda et al., 1989",DAP,Patagonian,-43.9333333333333,-71.5333333333333,1989,FO,Peces,4966,América del Sur,Argentina,No,,,,,,
85,FO:Peces:4967,Salvelinus fontinalis,-,Chubut,Pacífico,Río Carrenleufú,Río Corcovado,77,"Ubeda et al., 1989",DAP,Patagonian,-43.9666666666667,-71.1333333333333,1989,FO,Peces,4967,América del Sur,Argentina,No,,"-43.8725,-71.3118",,,-43.8725,-71.3118
86,FO:Peces:4968,Percichthys trucha,Cholila,Chubut,Pacífico,Río Futaleufú,Lago Lezama,76,"Ubeda et al., 1989",DAP,Patagonian,-42.45,-71.4833333333333,1989,FO,Peces,4968,América del Sur,Argentina,No,,,,,,
87,FO:Peces:4969,Oncorhynchus mykiss,Cholila,Chubut,Pacífico,Río Futaleufú,Lago Lezama,76,"Ubeda et al., 1989",DAP,Patagonian,-42.45,-71.4833333333333,1989,FO,Peces,4969,América del Sur,Argentina,No,,,,,,
88,FO:Peces:5243,Percichthys trucha,Esquel,Chubut,Pacífico,Río Futaleufú,Laguna Terraplén ,76,"Grosman y Rudzik, 1990",DAP,Patagonian,-42.9833333333333,-71.5166666666667,1990,FO,Peces,5243,América del Sur,Argentina,No,,,,,,
89,FO:Peces:5244,Oncorhynchus mykiss,Esquel,Chubut,Pacífico,Río Futaleufú,Laguna Terraplén ,76,"Grosman y Rudzik, 1990",DAP,Patagonian,-42.9833333333333,-71.5166666666667,1990,FO,Peces,5244,América del Sur,Argentina,No,,,,,,
