"id_CC","occurrenceID_master","datasetName_tmp","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","institutionCode","Duplicate","Comment","Remove_from_master",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID"
2343,"MMA:ICT:0000196","mma2","aplochiton zebra",1982,NA,"lago quetro. rio pascua entre arriba rio quetru y rio borquez",-48.113,-73.121,"FuenteReg: McDowall ",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2351,"SUBPESCA.PecesContinentales2019.21944","subpesca-1","aplochiton zebra",2012,NA,NA,-48.159998,-73.117037,"CEA (NA) Monitoreo L","21944",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2387,"SUBPESCA.PecesContinentales2019.21942","subpesca-1","aplochiton zebra",2012,NA,NA,-48.115478,-73.109366,"CEA (NA) Monitoreo L","21942",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2389,"SUBPESCA.PecesContinentales2019.21941","subpesca-1","galaxias platei",2012,NA,NA,-48.115478,-73.109366,"CEA (NA) Monitoreo L","21941",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2422,"MAguilar.Lit.Review.1062","agui","eleginops maclovinus",NA,NA,"fiordo de aysén",-45.3500000001,-73.1000000004,"Rademacher K. 2007. ","1062",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2424,"MAguilar.Lit.Review.1079","agui","galaxias maculatus",NA,NA,"fiordo aysén",-45.3500000001,-73.1000000004,"Rademacher K. 2007. ","1079",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2431,"MAguilar.Lit.Review.399","agui","galaxias maculatus",NA,NA,"angelmó",-41.7166666671,-73.1000000004,"Cussac, V., Ortubay,","399",NA,NA,"Change coordinates to -41.482698, -72.959770",NA,NA,NA,-41.482698,-72.95977,NA,NA,NA,NA,NA,NA,NA,NA,NA
2454,"SUBPESCA.PecesContinentales2019.4972","subpesca-1","percichthys trucha",2009,NA,NA,-47.532097,-73.089291,"CEA (NA) Proyecto Hi","4972",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2460,"SUBPESCA.PecesContinentales2019.21931","subpesca-1","aplochiton zebra",2012,NA,NA,-48.157151,-73.089022,"CEA (NA) Monitoreo L","21931",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2463,"SUBPESCA.PecesContinentales2019.21933","subpesca-1","galaxias maculatus",2012,NA,NA,-48.157151,-73.089022,"CEA (NA) Monitoreo L","21933",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2486,"SUBPESCA.PecesContinentales2019.15868","subpesca-1","aplochiton zebra",2010,NA,NA,-47.547586,-73.086243,"CEA (NA) Linea Base ","15868",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2488,"SUBPESCA.PecesContinentales2019.15941","subpesca-1","galaxias maculatus",2010,NA,NA,-47.547586,-73.086243,"CEA (NA) Linea Base ","15941",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
