"scientificName","scientificName_Old","canonicalName","IncludePewProAP","taxonRank","kingdom","phylum","order","family","genus","species","usageKey"
"Alosidae","Alosidae","Alosidae","0","FAMILY","Animalia","Chordata","Clupeiformes","Alosidae",NA,NA,"12265246"
"Clupea Linnaeus, 1758","Clupea","Clupea","0","GENUS","Animalia","Chordata","Clupeiformes","Clupeidae","Clupea",NA,"2346676"
"Clupea Linnaeus, 1758","Clupea Linnaeus, 1758","Clupea","0","GENUS","Animalia","Chordata","Clupeiformes","Clupeidae","Clupea",NA,"2346676"
"Ramnogaster arcuata (Jenyns, 1842)","Ramnogaster arcuata (Jenyns, 1842)","Ramnogaster arcuata","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Ramnogaster","Ramnogaster arcuata","2412781"
"Sardina Antipa, 1904","Sardina","Sardina","0","GENUS","Animalia","Chordata","Clupeiformes","Clupeidae","Sardina",NA,"2413223"
"Sardinops sagax (Jenyns, 1842)","Sardinops sagax","Sardinops sagax","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","2412583"
"Sardinops sagax (Jenyns, 1842)","Sardinops sagax (Jenyns, 1842)","Sardinops sagax","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","2412583"
"BOLD:ABA0605","BOLD:ABA0605","BOLD:ABA0605","0","UNRANKED","Animalia","Chordata","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","10189668"
"Clupea fuegensis Jenyns, 1842","Clupea fuegensis Jenyns, 1842","Clupea fuegensis","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","2413475"
"Sprattus fuegensis (Jenyns, 1842)","Sprattus fuegensis","Sprattus fuegensis","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","2413473"
"Sprattus fuegensis (Jenyns, 1842)","Sprattus fuegensis (Jenyns, 1842)","Sprattus fuegensis","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","2413473"
"Sprattus fueguensis (Jenyns, 1842)","Sprattus fueguensis","Sprattus fueguensis","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Sprattus","Sprattus fuegensis","2413474"
"Clupea bentincki Norman, 1936","Clupea bentincki Norman, 1936","Clupea bentincki","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Strangomera","Strangomera bentincki","2413036"
"Strangomera bentincki (Norman, 1936)","Strangomera bentincki","Strangomera bentincki","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Strangomera","Strangomera bentincki","2413034"
"Strangomera bentincki (Norman, 1936)","Strangomera bentincki (Norman, 1936)","Strangomera bentincki","0","SPECIES","Animalia","Chordata","Clupeiformes","Clupeidae","Strangomera","Strangomera bentincki","2413034"
"Clupeidae","Clupeidae","Clupeidae","0","FAMILY","Animalia","Chordata","Clupeiformes","Clupeidae",NA,NA,"7332"
"Engraulis ringens Jenyns, 1842","Engraulis ringens","Engraulis ringens","0","SPECIES","Animalia","Chordata","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","2414014"
"Engraulis ringens Jenyns, 1842","Engraulis ringens Jenyns, 1842","Engraulis ringens","0","SPECIES","Animalia","Chordata","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens","2414014"
"Cyprinus rubrofuscus Lacepède, 1803","Cyprinus rubrofuscus","Cyprinus rubrofuscus","1","SPECIES","Animalia","Chordata","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus rubrofuscus","2367196"
"Parachela Steindachner, 1881","Parachela Steindachner, 1881","Parachela","1","GENUS","Animalia","Chordata","Cypriniformes","Cyprinidae","Parachela",NA,"2364616"
"Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis","Gambusia affinis","1","SPECIES","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis","2350580"
"Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis","1","SPECIES","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis","2350580"
"Gambusia holbrooki Girard, 1859","Gambusia holbrooki","Gambusia holbrooki","1","SPECIES","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","2350570"
"Poecilia reticulata Peters, 1859","Poecilia reticulata","Poecilia reticulata","1","SPECIES","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia reticulata","2350050"
"Poeciliidae","Poeciliinae","Poeciliidae","1",NA,"Animalia","Chordata","Cyprinodontiformes","Poeciliidae",NA,NA,"7659"
"Micromesistius australis Norman, 1937","Micromesistius australis Norman, 1937","Micromesistius australis","0","SPECIES","Animalia","Chordata","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","2415774"
"BOLD:AAA7789","BOLD:AAA7789","BOLD:AAA7789","0","UNRANKED","Animalia","Chordata","Gadiformes","Gadidae","Micromesistius",NA,"10100044"
"Gadidae","Gadidae","Gadidae","0","FAMILY","Animalia","Chordata","Gadiformes","Gadidae",NA,NA,"3701"
"Coelorinchus aconcagua Iwamoto, 1978","Coelorinchus aconcagua Iwamoto, 1978","Coelorinchus aconcagua","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus aconcagua","2416325"
"Coelorinchus chilensis Gilbert & Thompson, 1916","Coelorinchus chilensis Gilbert & Thompson, 1916","Coelorinchus chilensis","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus chilensis","2416202"
"Coelorhynchus fasciatus (Günther, 1878)","Coelorhynchus fasciatus (Günther, 1878)","Coelorhynchus fasciatus","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus fasciatus","5214983"
"Coelorhynchus patagoniae Gilbert & Thompson, 1916","Coelorhynchus patagoniae","Coelorhynchus patagoniae","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus fasciatus","5819523"
"Coelorhynchus patagoniae Gilbert & Thompson, 1916","Coelorhynchus patagoniae Gilbert & Thompson, 1916","Coelorhynchus patagoniae","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus fasciatus","5819523"
"Coelorinchus fasciatus (Günther, 1878)","Coelorinchus fasciatus","Coelorinchus fasciatus","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus fasciatus","2416044"
"Coelorinchus fasciatus (Günther, 1878)","Coelorinchus fasciatus (Günther, 1878)","Coelorinchus fasciatus","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus fasciatus","2416044"
"Macrurus fasciatus Günther, 1878","Macrurus fasciatus Günther, 1878","Macrurus fasciatus","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus fasciatus","5214984"
"Coelorinchus kaiyomaru Arai & Iwamoto, 1979","Coelorinchus kaiyomaru Arai & Iwamoto, 1979","Coelorinchus kaiyomaru","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus","Coelorinchus kaiyomaru","2416102"
"Coelorhynchus Giorna, 1809","Coelorhynchus Giorna, 1809","Coelorhynchus","0","GENUS","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus",NA,"2415983"
"Coelorinchus Giorna, 1809","Coelorinchus Giorna, 1809","Coelorinchus","0","GENUS","Animalia","Chordata","Gadiformes","Macrouridae","Coelorinchus",NA,"2416033"
"Coryphaenoides armatus (Hector, 1875)","Coryphaenoides armatus (Hector, 1875)","Coryphaenoides armatus","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides armatus","5215164"
