"bibliographicCitation","associatedReferences","occurrenceID","locationRemarks","locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","recordedBy","license","rightsHolder","accessRights","datasetName","datasetName_tmp","basisOfRecord"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007028","Valle Exploradores","Lago Aislado",-46.376777,-73.250979,2019,2019-01-13,"Salmo trutta",1,"Gill Net Experimental","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.011997","Valle Exploradores","Lago Aislado",-46.376454,-73.247836,2023,2023-01-09,"Salmo trutta",7,"Angling","Cristian Correa, Julien Cucherousset, Simon Blanchet","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007983","Valle Exploradores","Lago Aislado",-46.376363,-73.247718,2019,2019-01-12,"Oncorhynchus tshawytscha",3,"Minnow Trap","Cristian Correa","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004539","Valle Exploradores","Lago Aislado",-46.376035,-73.24722298,2014,2014-03-18,"Oncorhynchus tshawytscha",1,"Gill Net Aplochitonera 3mX5m  X2","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007030","Valle Exploradores","Lago Aislado",-46.375956,-73.246697,2019,2019-01-13,"Galaxias platei",1,"Seine net","Cristian Correa, Julien Cucherousset, Simon Blanchet, Jaime Schienfeldt","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007027","Valle Exploradores","Lago Aislado",-46.375956,-73.246697,2019,2019-01-13,"Oncorhynchus tshawytscha",102,"Seine net","Cristian Correa, Julien Cucherousset, Simon Blanchet, Jaime Schienfeldt","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007986","Valle Exploradores","Lago Aislado",-46.375956,-73.246697,2019,2019-01-16,"Oncorhynchus tshawytscha",3,"Electric fishing","Cristian Correa, Julien Cucherousset, Simon Blanchet, Didier Galop","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007033","Valle Exploradores","Lago Aislado",-46.375956,-73.246697,2019,2019-01-16,"Salmo trutta",3,"Electric fishing","Cristian Correa, Julien Cucherousset, Simon Blanchet, Didier Galop","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004532","Valle Exploradores","Lago Aislado",-46.37539102,-73.246047,2014,2014-03-17,"Galaxias platei",6,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004528","Valle Exploradores","Lago Aislado",-46.37539102,-73.246047,2014,2014-03-17,"Oncorhynchus tshawytscha",2,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004530","Valle Exploradores","Lago Aislado",-46.37539102,-73.246047,2014,2014-03-17,"Salmo trutta",6,"Seine net","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004545","Valle Exploradores","Lago Aislado",-46.37539102,-73.246047,2014,2014-03-18,"Galaxias platei",2,"Hand Collected, Minnow Trap","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004544","Valle Exploradores","Lago Aislado",-46.37539102,-73.246047,2014,2014-03-18,"Oncorhynchus tshawytscha",1,"Hand Collected","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004540","Valle Exploradores","Lago Aislado",-46.37539102,-73.246047,2014,2014-03-18,"Salmo trutta",4,"Gill Net Experimental","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007185","Valle Exploradores","Lago Aislado",-46.375313,-73.257109,2019,2019-01-17,"Oncorhynchus tshawytscha",7,"Angling","Jaime Schienfeldt","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007184","Valle Exploradores","Lago Aislado",-46.375313,-73.257109,2019,2019-01-17,"Salmo trutta",42,"Angling","Jaime Schienfeldt","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.004538","Valle Exploradores","Lago Aislado",-46.37491602,-73.24579496,2014,2014-03-18,"Aplochiton marinus",1,"Gill Net Aplochitonera 3mX10m","Cristian Correa, Maryse Boisjoly","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.012004","Valle Exploradores","Lago Aislado",-46.373227,-73.2364699999999,2023,2023-01-09,"Salmo trutta",1,"Angling","Cristian Correa, Julien Cucherousset, Simon Blanchet","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007031","Valle Exploradores","Lago Aislado",-46.372943,-73.261209,2019,2019-01-16,"Oncorhynchus tshawytscha",2,"Angling","Cristian Correa, Julien Cucherousset, Simon Blanchet, Didier Galop","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","","Correa.Boisjoly.collection.007985","Valle Exploradores","Lago Aislado",-46.372943,-73.261209,2019,2019-01-16,"Salmo trutta",4,"Angling","Cristian Correa, Julien Cucherousset, Simon Blanchet, Didier Galop","CC BY-NC 4.0","Cristian Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa & Boisjoly fish collection v.2025-11-27","Fish Database Correa-Boisjoly","Occurrence"
