dataset.x,id_CC_old.x,match_id.x,fieldgood,fieldbad,logodd.ratio,precent.good,percent.bad,checked
agui,6535,5975,8,0,0.954242509439325,61.5384615384615,0,
agui,6537,5977,7,0,0.903089986991944,53.8461538461538,0,
agui,6538,5978,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6539,5979,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6579,6006,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6582,6009,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6590,6017,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6596,6023,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6598,6025,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6620,6047,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6621,6048,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6624,6051,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6625,6052,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6693,6115,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
subpesca-1,6704,6124,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6738,6153,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
fish database correa-boisjoly,6920,6325,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
gbif,6929,6334,8,0,0.954242509439325,61.5384615384615,0,
agui,6933,6335,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6934,6336,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6935,6337,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,6936,6338,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
mma2,6950,6346,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
subpesca-1,6978,6371,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6979,6372,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6980,6373,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,6983,6376,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,7000,6386,8,2,0.477121254719662,61.5384615384615,15.3846153846154,ok
subpesca-1,7002,6387,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7006,6391,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7018,6402,7,0,0.903089986991944,53.8461538461538,0,
agui,7020,6404,8,0,0.954242509439325,61.5384615384615,0,
agui,7021,6405,7,0,0.903089986991944,53.8461538461538,0,
agui,7022,6406,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,7023,6407,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,7024,6408,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,7036,6412,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7073,6442,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7074,6443,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,7095,6460,7,0,0.903089986991944,53.8461538461538,0,
mma2,7149,6510,6,0,0.845098040014257,46.1538461538462,0,
agui,7279,6639,11,0,1.07918124604762,84.6153846153846,0,
subpesca-1,7287,6648,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7316,6676,9,0,1,69.2307692307692,0,
agui,7317,6677,8,0,0.954242509439325,61.5384615384615,0,
agui,7318,6678,8,0,0.954242509439325,61.5384615384615,0,
agui,7319,6679,8,0,0.954242509439325,61.5384615384615,0,
agui,7323,6683,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7325,6685,7,0,0.903089986991944,53.8461538461538,0,
agui,7326,6686,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7327,6687,7,0,0.903089986991944,53.8461538461538,0,
agui,7328,6688,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7329,6689,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,7330,6690,7,0,0.903089986991944,53.8461538461538,0,
subpesca-1,7344,6702,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7412,6756,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7480,6822,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7523,6862,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
subpesca-2,7540,6877,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7541,6878,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7542,6879,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7543,6880,10,0,1.04139268515823,76.9230769230769,0,
subpesca-1,7547,6884,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-2,7552,6889,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7554,6891,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7555,6892,10,0,1.04139268515823,76.9230769230769,0,
subpesca-1,7556,6893,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7560,6897,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7586,6922,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
idig,7612,6947,11,0,1.07918124604762,84.6153846153846,0,
