CM_row_id,prim_key,correccion,Remove_from_master,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
191,inat | https://www.inaturalist.org/observations/195530571,Locality: Lago Steffen,,Lago Steffen,,,,,,,,,
192,inat | https://www.inaturalist.org/observations/249817833,Locality: Lago Epuyén,,Lago Epuyén,,,,,,,,,
193,gbif | CENPAT-CONICET-CNPICT-CNPICT1983/105,no sabemos que Aplochiton es¡¡¡¡,,,,,,,,,,,
194,inat | https://www.inaturalist.org/observations/146577770,no pordemos constatar cae en la tierra,,,,,,,,,,,
195,agui | MAguilar.Lit.Review.736,coord correctas42.9833/71.5167,,,-42.9833,-71.5167,,,,,,,
196,agui | MAguilar.Lit.Review.737,coord correctas42.9833/71.5167,,,-42.9833,-71.5167,,,,,,,
197,agui | MAguilar.Lit.Review.56,coord correctas42.9833/71.5167,,,-42.9833,-71.5167,,,,,,,
198,agui | MAguilar.Lit.Review.738, 42.9833/71.5167,,,-42.9833,-71.5167,,,,,,,
199,agui | MAguilar.Lit.Review.129,"coord  -42,9833/71.5167",,,-42.9833,-71.5167,,,,,,,
200,,"El Hoyo es un pueblo, podria ser el rio Epuyen",,,,,,,,,,,
201,agui | MAguilar.Lit.Review.80,coord  43.86/71.518,,,-43.86,-71.518,,,,,,,
202,agui | MAguilar.Lit.Review.1310,41.3631/71.546,,,-41.3631,-71.546,,,,,,,
203,agui | MAguilar.Lit.Review.1307,Remove; 40°46´/71°39´,remove,,,,,,,,,,
204,agui | MAguilar.Lit.Review.590,"no podemos localizar el Rio Chiquito, el pto cae en la tierra",,,,,,,,,,,
205,agui | MAguilar.Lit.Review.948,"coord 44.308/71.504; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.308,-71.504,2000,,,,,,
206,agui | MAguilar.Lit.Review.924,"coord 44.308/71.504; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.308,-71.504,2000,,,,,,
207,agui | MAguilar.Lit.Review.31,coord 44.308/71.504 ,,,-44.308,-71.504,,,,,,,
208,agui | MAguilar.Lit.Review.115,coord  44.3077/71.5031,,,-44.3077,-71.5031,,,,,,,
209,agui | MAguilar.Lit.Review.949,"coord 44.28/71.523; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.28,-71.523,2000,,,,,,
210,agui | MAguilar.Lit.Review.925,"coord 44.28/71.5231.102; year:2000 y 2002, el dato corresponde a Ferriz 2003",,,-44.28,-71.5231,2000,,,,,,
211,agui | MAguilar.Lit.Review.25,coord 44.28/71.523,,,-44.28,-71.523,,,,,,,
212,agui | MAguilar.Lit.Review.1044,coord 42.6092/71.6647,,,-42.6092,-71.6647,,,,,,,
