"locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","locationRemarks","recordedBy","associatedReferences","license","rightsHolder","accessRights","bibliographicCitation","datasetName","basisOfRecord"
"Río Caleta, Tierra del Fuego",-53.81682,-70.16735,2015,2015-02-17,"Galaxias maculatus",1,"Electric fishing","Río Caleta Tierra del Fuego","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta, Tierra del Fuego",-53.81682,-70.16735,2015,2015-02-17,"Salmo trutta",22,"Electric fishing","Río Caleta Tierra del Fuego","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.166558,-71.521693,2015,2015-02-25,"Oncorhynchus kisutch",1,"Electric fishing","Río Canelo","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.166558,-71.521693,2015,2015-02-25,"Oncorhynchus mykiss",4,"Electric fishing","Río Canelo","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.166558,-71.521693,2015,2015-02-25,"Salmo trutta",5,"Electric fishing","Río Canelo","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.164272,-71.525845,2015,2015-02-25,"Salmo trutta",15,"Electric fishing","Río Canelo","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.16270702,-71.52549097,2015,2015-02-25,"Oncorhynchus kisutch",3,"Mist Net","Río Canelo","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.16270702,-71.52549097,2015,2015-02-25,"Oncorhynchus mykiss",4,"Mist Net","Río Canelo","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.16270702,-71.52549097,2015,2015-02-25,"Salmo trutta",7,"Mist Net","Río Canelo","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.16270702,-71.52549097,2015,2015-03-01,"Oncorhynchus kisutch",3,"Casting Net","Río Canelo","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.16270702,-71.52549097,2015,2015-03-01,"Salmo trutta",2,"Casting Net","Río Canelo","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.162707,-71.525491,2015,2015-02-25,"Oncorhynchus kisutch",5,"Casting Net","Río Canelo","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.162707,-71.525491,2015,2015-02-25,"Oncorhynchus mykiss",16,"Casting Net","Río Canelo","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Canelo",-53.162707,-71.525491,2015,2015-02-25,"Salmo trutta",11,"Casting Net","Río Canelo","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
