"This database is one of the products of the following grants: Carlos García de Leániz (PI), Gonzalo Gajardo, et al. Department for Environment Food and Rural Affairs (DEFRA, UK). Darwin Initiative Grants 15020 (2006-2009) and EIDPO041 (2010-2012).",,,,,,,,,,,,,
Watershed,Location,Station,Latitude,Longitude,Date,Day,Month,Year,Species,Collected by,n.genotyped,n.not.genotyped,n.individuals
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Percilia gillissi,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,12,12
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Salmo trutta,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,20,20
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Trichomycterus areolatus,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,1,1
Río Bueno,Río Cainalhue,RCAI7,-40.32057222,-73.44981667,39940,7,5,2009,Galaxias maculatus,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,43,43
Río Bueno,Río Cainalhue,RCAI7,-40.32057222,-73.44981667,39940,7,5,2009,Geotria australis,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,7,7
Río Bueno,Río Cainalhue,RCAI7,-40.32057222,-73.44981667,39940,7,5,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,6,6
Río Bueno,Río Cainalhue,RCAI7,-40.32057222,-73.44981667,39940,7,5,2009,Percichthys trucha,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,4,4
Río Bueno,Río Cainalhue,RCAI7,-40.32057222,-73.44981667,39940,7,5,2009,Salmo trutta,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,21,21
Río Bueno,Río Cainalhue,RCAI7,-40.32057222,-73.44981667,39940,7,5,2009,Trichomycterus areolatus,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,2,2
Río Bueno,Río Calcurrupe,RCP,-40.22621111,-72.15027222,17/03/87,17,3,1987,Oncorhynchus mykiss,Angler,,1,1
