"occurrenceID","decimalLongitude","decimalLatitude","locality","scientificName","year","eventDate","bibliographicCitation","eventRemarks","license","datasetName","datasetName_tmp","basisOfRecord"
"CCorrea.Lit.Review.260",-72.43206,-43.17613,"Lago Yelcho","Oncorhynchus mykiss",2001,"2001","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2001 Caught in every sampling. Geolocation: The position of the point is approximate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.261",-72.43206,-43.17613,"Lago Yelcho","Salmo trutta",2001,"2001","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2001 Caught in every sampling. Geolocation: The position of the point is approximate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.262",-72.43206,-43.17613,"Lago Yelcho","Salmo salar",2001,"2001","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2001 One Chinook were caught in May 2001. Geolocation: The position of the point is approximate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.263",-72.43206,-43.17613,"Lago Yelcho","Oncorhynchus tshawytscha",2001,"2001","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2001 One Chinook were caught in April 2001. Geolocation: The position of the point is approximate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.265",-72.46283,-41.18385,"Laguna Los Patos","Oncorhynchus mykiss",2000,"2000/2002","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2000, 2001 Percentages over total number of salmonids; some native species (?) were also caught. Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.266",-72.46283,-41.18385,"Laguna Los Patos","Salmo trutta",2000,"2000/2002","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2000, 2001 Percentages over total number of salmonids; some native species (?) were also caught. Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.267",-72.46283,-41.18385,"Laguna Los Patos","Oncorhynchus kisutch",2000,"2000/2002","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2000, 2001 Percentages over total number of salmonids; some native species (?) were also caught. Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.268",-72.46283,-41.18385,"Laguna Los Patos","Oncorhynchus tshawytscha",2000,"2000/2002","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2000, 2001 Percentages over total number of salmonids; some native species (?) were also caught. 140 adults were seen in reproductive activities in three days of March and April 2001. Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.269",-72.38705,-41.12001,"Lago Todos Los Santos","Oncorhynchus mykiss",2000,"2000","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2000  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.270",-72.38705,-41.12001,"Lago Todos Los Santos","Salmo trutta",2000,"2000","Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001).","2000  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
