"decimalLongitude","decimalLatitude","locality","scientificName","year","bibliographicCitation","eventRemarks","license","datasetName","basisOfRecord"
-68.67287,-53.98592,"Río Rasmunssen, cauce central y afluentes.","Salmo trutta",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-68.67287,-53.98592,"Río Rasmunssen, cauce central y afluentes.","Salmo trutta",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-68.85548,-53.98113,"Valle Castor, cauce central y afluentes.","Salmo trutta",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-68.85548,-53.98113,"Valle Castor, cauce central y afluentes.","Salmo trutta",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.21622,-45.49326,"Río Simpson","Oncorhynchus masou",1984,"CORFO-IFOP (1990) Un legado a la salmonicultura. Proyecto de introducción de salmón del pacífico en Aysén.. Chile Pesquero 1: 51-56. Type of document: Paper Notes: NA","1984  Geolocation: Not accurate; somewere in the Simpson River.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.734212,-51.562583,"Río Prat","Oncorhynchus keta",1986,"CORFO-IFOP (1990) Un legado a la salmonicultura. Proyecto de introducción de salmón del pacífico en Aysén.. Chile Pesquero 1: 51-56. Type of document: Paper Notes: NA","1986  Geolocation: Not accurate; somewere in the Prat River.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.45548,-46.64234,"Lago General Carrera","Oncorhynchus masou",1989,"CORFO-IFOP (1990) Un legado a la salmonicultura. Proyecto de introducción de salmón del pacífico en Aysén.. Chile Pesquero 1: 51-56. Type of document: Paper Notes: NA","1989  Geolocation: Not accurate; somewere in the General Carrera Lake.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.26949,-45.4832,"Río Simpson","Salmo trutta",2000,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2000, 2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-71.91679,-45.81854,"Río Blanco (Aysen)","Oncorhynchus tshawytscha",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-71.78287,-45.83935,"Río Huemules","Salmo trutta",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.08335,-45.57516,"Río Simpson","Oncorhynchus mykiss",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.76028,-45.69517,"Arroyo Cea","Oncorhynchus kisutch",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001  Geolocation: Position of the point is based on coordinates only.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.19077,-46.16147,"Lago Las Ardillas","Salmo salar",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.68563,-46.46062,"Arroyo Murta","Oncorhynchus mykiss",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.713,-46.47491,"Bahía Murta","Salmo trutta",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-71.97163,-46.28321,"Río Ibañez","Salmo trutta",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-71.65194,-44.62831,"Río Cisnes (Tapera)","Oncorhynchus tshawytscha",2001,"Edwin Niklitschek and Eduardo Aedo (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25. FIP 2000-25 75pp.. Type of document: Unpub. Report Notes: NA","2001 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.4946,-41.44194,"Lago Chapo","Salmo salar",1997,"Gonzalo Gajardo (1997) Caracterización genética, hematologica y química sanguinea de salmonideos silvestres y de cultivo.. FIP IT 95-35 61. Type of document: Unpub. Report Notes: NA","1997 (?)  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-73.65074,-42.38315,"Dalcahue","Salmo salar",1997,"Gonzalo Gajardo (1997) Caracterización genética, hematologica y química sanguinea de salmonideos silvestres y de cultivo.. FIP IT 95-35 61. Type of document: Unpub. Report Notes: NA","1997 (?)  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-73.1115,-41.75788,"Calbuco","Oncorhynchus tshawytscha",1995,"Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.. Type of document: Unpub. Report Notes: NA","1995-1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
