decimalLongitude,decimalLatitude,Site_ID,ODBC:FishGIS_metaDatabase AllFish_Ref_ID,ODBC:FishGIS_metaDatabase AllFish_Author,ODBC:FishGIS_metaDatabase AllFish_OLD_SITE_ID,ODBC:FishGIS_metaDatabase AllFish_Site_Name,ODBC:FishGIS_metaDatabase AllFish_Notes,ODBC:FishGIS_metaDatabase AllFish_Site_Precision,ODBC:FishGIS_metaDatabase AllFish_Years,ODBC:FishGIS_metaDatabase AllFish_Species,ODBC:FishGIS_metaDatabase AllFish_Abund_Percent
-72.26966,-40.33806,"71","6",Doris Soto B.and Ivan Arismendi V.,"04.29",Río Futangue,See description of site in Pag. 38.,"Approximate, based on coordenates.","2000",Aplochiton taeniatus,"27,93"
-72.43971,-40.32284,"72","6",Doris Soto B.and Ivan Arismendi V.,"04.30",Río Iculpe,,"Approximate, based on coordenates.","2000",Aplochiton taeniatus,"0,60"
-72.43971,-40.32284,"72","6",Doris Soto B.and Ivan Arismendi V.,"04.30",Río Iculpe,,"Approximate, based on coordenates.","2000",Aplochiton taeniatus,"0,60"
-72.32187,-40.32962,"73","6",Doris Soto B.and Ivan Arismendi V.,"04.31",Río Pitreño,,"Approximate, based on coordenates.","1999, 2000, 2001",Aplochiton taeniatus,"2,42"
-72.32187,-40.32962,"73","6",Doris Soto B.and Ivan Arismendi V.,"04.31",Río Pitreño,,"Approximate, based on coordenates.","1999, 2000, 2001",Aplochiton taeniatus,"2,42"
-72.24051,-40.33910,"74","6",Doris Soto B.and Ivan Arismendi V.,"04.32",Río Lado Puente Collico,,Based on coordenates.,"1999, 2000, 2001",Aplochiton taeniatus,"0,38"
-72.24051,-40.33910,"74","6",Doris Soto B.and Ivan Arismendi V.,"04.32",Río Lado Puente Collico,,Based on coordenates.,"1999, 2000, 2001",Aplochiton taeniatus,"0,38"
-72.33202,-40.69897,"75","6",Doris Soto B.and Ivan Arismendi V.,"04.33",Río Chanlelfu,,"Not accurate, just referential.","2000",Oncorhynchus tshawytscha,"0,72"
-72.33202,-40.69897,"75","6",Doris Soto B.and Ivan Arismendi V.,"04.33",Río Chanlelfu,,"Not accurate, just referential.","2000",Oncorhynchus tshawytscha,"0,72"
-72.31108,-40.69777,"76","6",Doris Soto B.and Ivan Arismendi V.,"04.34",Río Manzano,,Based on coordenates.,"1999, 2000",Oncorhynchus mykiss,"100"
