Ref_ID,Origin of data,Type of document,Author,Year,Title,Journal or Editorial,Vol  Pag,To be reviewed,OLD REF_ID,Notes
21,,Paper,"Scasso, F.   & H. Campos",1999,"Comparison of two populations of silverside, Odontesthes bonariensis, (Pisces, Atherinopsidae) in eutrophied lakes from central chile.",Journal of Freshwater Ecology,14(1): 61-70,,73,
22,,Paper,"Evelyn Habit, Pedro Victoriano & Amadora Rodríguez-Ruiz",2003,Variaciones espacio-temporales del ensamble de peces de un sistema fluvial de bajo orden del centro-sur de Chile.,Revista Chilena de Historia Natural,"76: 3-14, 2003",,74,
23,,Unpub. Report,"Friedmann, Claudio and seven colaborators.",1996,"Consultoría análisis ambiental del proyecto de explotación de pozos en Parque Nacional Lauca, I región (EIA).","CD 100005, CONAMA",,,76,
24,,EIA,Electrowatt Ingenieros Consultores (Chile) S.A.,1996,Estudio de Impacto Ambiental Central Rucue.,CEDOC/CONAMA,,,79,
25,,Unpub. Report,"Campos, H., V. Ruiz, J.F. Gavilan y F. Alay",1993,"Peces del Río Biobío. Francesco Faranda, Oscar Parra (eds.)",Universidad de Concepción,100 p.,,89,
26,,Paper,"Habit, Evelyn.",1994,Contribución al conocimiento de la fauna íctica del río Itata.,"Bol. Soc. Biol. Concepción, Chile.",65: 143-147.,,91,
27,,Paper,"Habit, Evelyn",1994,Ictiofauna en canales de riego de la cuenca del río Itata durante la época de otoño - invierno.,Com. Mus. Hist. Nat. Concepción,8: 7-12.,,92,
28,,EIA,Ministerio de Obras Públicas (MOP) y Consultora Gran Vía.,1999,Estudio de Impacto Ambiental (EIA) proyecto de concesión embalse Illapel - IV región.,CONAMA,,,142,
29,,EIA,SRK y MN Ingenieros Lda.,1998,Estudio de Impacto Ambiental (EIA) proyecto embalse Corrales.,CONAMA,,X reportes de gente local (arcoiris y más).,144,
30,,EIA,Electrowatt Ingenieros Consultores S.A.,1996,"Estudio de Impacto Ambiental (EIA), proyecto central hidroeléctrica Ralco.",CONAMA,,,145,
31,,EIA,EIA,2000,"Estudio de Impacto Ambiental (EIA), proyecto Hacienda Topocalma, inmoviliaria general.",CONAMA,,,146,
32,,EIA,ESSAM S.A. y Universidad de Talca,2001,"Estudio de Impacto Ambiental (EIA), planta de tratamiento de aguas servidas de Curicó.",CONAMA,,X método y fechas de muestreo: anexo C.,147,
33,,EIA,Tecnologías y Servicios Ambientales TASAM S.A.,1995,"Estudio de Impacto Ambiental (EIA), proyecto central hidroeléctrica Loma Alta.",CONAMA,,X Río Maule en cruce del puente caminero 1 km aguas arriba de la central Curillinque.; método y fechas de muestreo: anexo C.,148,
