"id_CC_original","match_id","correcting_match","match_status","match_quality","n_keys_used","n_core_keys_used","n_candidates_final","match_keys_used","datasetName","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","occurrenceID","institutionCode","Duplicate","Comment",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID","row_status","key_found_in_old","id_in_old","old_composite_key_if_exists","matched_annotation_imported"
"12407","11357",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus mykiss","2007",NA,"lago la paloma","-44.3486666672","-71.987944444","Ortiz-Sandoval, J., ","1035",NA,NA,NA,"change coordinates to -45.904804, -72.098064",NA,NA,"-45.904804","-72.098064",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12407___11357",FALSE
"12408","11358",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","salmo trutta","2006",NA,"lago la paloma","-44.3486666672","-71.987944444","Habit, E., Gonzalez,","790",NA,NA,"1","change coordinates to -45.912403, -72.107499; associatedReference: (Ortiz-Sandoval et al., 2017)",NA,"Ortiz-Sandoval et al., 2017","-45.912403","-72.107499",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12408___11358",FALSE
"12409","11359",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","salmo trutta","2007",NA,"lago la paloma","-44.3486666672","-71.987944444","Ortiz-Sandoval, J., ","1033",NA,NA,"0","change coordinates to -45.904804, -72.098064",NA,NA,"-45.904804","-72.098064",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12409___11359",FALSE
"12432","11382",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","vert","diplomystes camposensis","1976","1976-02-21","curalufu river","-43.30718","-71.971761","University of Kansas","19257","dc526799-1ed3-11e3-bfac-90b11c41863e","ku",NA,"Change coordinates to -39.818333, -72.863889, extracted from Arratia y Quezada 2017",NA,NA,"-39.818333","-72.863889",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12432___11382",FALSE
"12434","11383","good","matched","2_core","2","2","1","datasetName;canonicalName","vert","percichthys trucha","1976","1976-02-10","curalelfu river","-43.30718","-71.971761","University of Kansas","19290","dc528c2f-1ed3-11e3-bfac-90b11c41863e","ku",NA,"Change coordinates to -39.818333, -72.863889, extracted from Arratia y Quezada 2017",NA,NA,"-39.818333","-72.863889",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12434___11383",TRUE
"12438","11385","good","matched","2_core","2","2","1","datasetName;canonicalName","vert","trichomycterus areolatus","1976","1976-02-21","curalufu river","-43.30718","-71.971761","University of Kansas","19217","dc5211e2-1ed3-11e3-bfac-90b11c41863e","ku",NA,"Change coordinates to -39.818333, -72.863889, extracted from Arratia y Quezada 2017",NA,NA,"-39.818333","-72.863889",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12438___11385",TRUE
"12475","11418",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus tshawytscha","2016",NA,"río el toqui","-45.0272310002","-71.9504570004","Muñoz, Nicolas J., R","972",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12475___11418",FALSE
"12480","11421",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","galaxias platei",NA,NA,"lago don poli","-46.2333333332","-71.95","Zama A. y Cárdenas E","1374",NA,NA,"0","Change coordinates to -46.241262, -71.964272",NA,NA,"-46.241262","-71.964272",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12480___11421",FALSE
"12497","11439",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","galaxias platei","2007",NA,"lago frío","-45.6674999998","-71.9438000001","CORREA, C., BRAVO, A","311",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12497___11439",FALSE
"12498","11440",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus mykiss","2007",NA,"lago frío","-45.6674999998","-71.9438000001","CORREA, C., BRAVO, A","312",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12498___11440",FALSE
"12506","11444",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus mykiss","2007",NA,"lago frío","-45.6652032195","-71.9407879088","Correa, C. and Hendr","282",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12506___11444",FALSE
"12507","11445",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","salmo trutta","2007",NA,"lago frío","-45.6652032195","-71.9407879088","Correa, C. and Hendr","301",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12507___11445",FALSE
"12515","11453",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","salvelinus fontinalis","2006",NA,"lago lonconao","-43.2460749996","-71.9375519997","Habit, E., Gonzalez,","770",NA,NA,"1","associatedReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12515___11453",FALSE
"12516","11454",NA,"matched","all_core_firlds","5","5","1","datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","salvelinus fontinalis",NA,NA,"lago lonconao","-43.2460749996","-71.9375519997","Cussac, V.E.; Barran","538",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12516___11454",FALSE
"12550","11483",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","percichthys trucha",NA,NA,"puerto ibañez (lago gral carrera)","-46.2833333331","-71.9333333331","Zama A. y Cárdenas E","1393",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12550___11483",FALSE
